Date,Clicks,Impressions,CTR,Position
2026-06-09,19,181,10.5%,5.6
2026-06-10,16,164,9.76%,4.8
2026-06-11,15,167,8.98%,5.7
2026-06-12,15,137,10.95%,6.3
2026-06-13,12,153,7.84%,5.6
2026-06-14,18,153,11.76%,5.3
2026-06-15,10,82,12.2%,7.9
2026-06-16,7,93,7.53%,7.2
2026-06-17,2,71,2.82%,6.6
2026-06-18,9,133,6.77%,5.9
2026-06-19,7,137,5.11%,5.8
2026-06-20,25,197,12.69%,5.8
2026-06-21,13,145,8.97%,6.8
2026-06-22,11,136,8.09%,5.1
2026-06-23,11,140,7.86%,6.1
2026-06-24,19,178,10.67%,5.2
2026-06-25,8,149,5.37%,5.5
2026-06-26,2,28,7.14%,27
2026-06-27,1,27,3.7%,23.1
2026-06-28,2,18,11.11%,16.7
2026-06-29,0,15,0%,35.8
2026-06-30,3,25,12%,27.5
2026-07-01,1,19,5.26%,17.3
2026-07-02,1,28,3.57%,15.7
2026-07-03,1,26,3.85%,9.9
2026-07-04,1,33,3.03%,27.7
2026-07-05,3,24,12.5%,21.4
2026-07-06,3,26,11.54%,29
2026-07-07,2,24,8.33%,48.1
2026-07-08,2,32,6.25%,13.5
2026-07-09,2,42,4.76%,33
2026-07-10,2,12,16.67%,15.6
2026-07-11,2,33,6.06%,31.1
2026-07-12,1,23,4.35%,17.1
2026-07-13,1,18,5.56%,19.1
2026-07-14,0,21,0%,26.4
2026-07-15,0,16,0%,32.7
2026-07-16,1,15,6.67%,17.6
2026-07-17,0,10,0%,23
2026-07-18,4,20,20%,15.9
2026-07-19,3,17,17.65%,9.9
2026-07-20,2,16,12.5%,18.1
2026-07-21,1,10,10%,2
2026-07-22,2,22,9.09%,16.2
2026-07-23,3,32,9.38%,31.8
2026-07-24,1,16,6.25%,18.1
2026-07-25,0,13,0%,24.7
2026-07-26,1,18,5.56%,19.1
2026-07-27,1,19,5.26%,27.2
2026-07-28,3,12,25%,16.5
2026-07-29,2,14,14.29%,18.1
2026-07-30,2,21,9.52%,39.6
2026-07-31,0,26,0%,39.4
2026-08-01,1,28,3.57%,29.5
2026-08-02,3,18,16.67%,22.7
2026-08-03,1,18,5.56%,8.3
2026-08-04,0,12,0%,17.9
2026-08-05,0,13,0%,13.5
2026-08-06,1,27,3.7%,21
2026-08-07,0,12,0%,18.6
2026-08-08,1,14,7.14%,11.6
2026-08-09,2,19,10.53%,55.8
2026-08-10,0,12,0%,20.1
2026-08-11,7,31,22.58%,16.8
2026-08-12,1,16,6.25%,27.4
2026-08-13,1,21,4.76%,44
2026-08-14,1,25,4%,48.2
2026-08-15,1,25,4%,41.5
2026-08-16,1,27,3.7%,45
2026-08-17,1,30,3.33%,42
2026-08-18,1,30,3.33%,50.3
2026-08-19,1,34,2.94%,45.4
2026-08-20,0,19,0%,63.6
2026-08-21,2,37,5.41%,44.8
2026-08-22,2,25,8%,34.9
2026-08-23,2,21,9.52%,35.4
2026-08-24,1,19,5.26%,42.4
2026-08-25,3,15,20%,42.1
2026-08-26,1,25,4%,42.8
2026-08-27,2,18,11.11%,46.8
2026-08-28,1,25,4%,57.4
2026-08-29,1,28,3.57%,35.8
2026-08-30,2,58,3.45%,43.5
2026-08-31,3,49,6.12%,34.9
2026-09-01,4,38,10.53%,24.1
2026-09-02,2,36,5.56%,24.4
2026-09-03,1,16,6.25%,43.9
2026-09-04,0,15,0%,26.8
2026-09-05,2,13,15.38%,8.9
2026-09-06,3,14,21.43%,31
2026-09-07,4,24,16.67%,17.5
2026-09-08,1,24,4.17%,26.4
