Country,Clicks,Impressions,CTR,Position
United States,167,2024,8.25%,12.86
United Kingdom,25,250,10%,20.98
Canada,20,179,11.17%,13.41
France,17,97,17.53%,15.73
Germany,13,122,10.66%,16.17
Netherlands,11,79,13.92%,16.52
Australia,7,80,8.75%,17.19
Poland,7,29,24.14%,7.21
Japan,6,40,15%,6.15
India,5,194,2.58%,25.72
Italy,4,54,7.41%,11.17
Spain,4,50,8%,12.8
Brazil,3,66,4.55%,13.35
New Zealand,3,9,33.33%,3.11
Russia,2,59,3.39%,22.44
Czechia,2,40,5%,17.85
Greece,2,17,11.76%,10.71
Iran,2,16,12.5%,5.19
Ireland,2,15,13.33%,7.07
Denmark,2,10,20%,8.1
Oman,2,4,50%,7.25
Nepal,2,3,66.67%,4.33
Guadeloupe,2,2,100%,35
Mexico,1,35,2.86%,27.37
Ukraine,1,28,3.57%,25.21
Switzerland,1,27,3.7%,6.56
Finland,1,25,4%,15.48
Indonesia,1,24,4.17%,23.83
Morocco,1,18,5.56%,47.44
South Korea,1,16,6.25%,21.06
Hungary,1,14,7.14%,7.21
Sweden,1,14,7.14%,11.14
Norway,1,14,7.14%,11.43
China,1,13,7.69%,4.85
Malaysia,1,13,7.69%,50
Pakistan,1,8,12.5%,5.25
Singapore,1,7,14.29%,7.71
Israel,1,7,14.29%,11.43
Romania,1,6,16.67%,2.5
Portugal,1,6,16.67%,7.33
Slovakia,1,5,20%,23
Puerto Rico,1,4,25%,4.5
Latvia,1,3,33.33%,3
Sri Lanka,1,3,33.33%,8.33
Qatar,1,1,100%,1
Guernsey,1,1,100%,2
Slovenia,1,1,100%,38
Vietnam,0,46,0%,44.74
Philippines,0,44,0%,44.93
Turkey,0,43,0%,44.58
Bangladesh,0,26,0%,27.42
Thailand,0,21,0%,27.67
Belgium,0,18,0%,5.67
Argentina,0,14,0%,9.79
Austria,0,13,0%,12.54
Algeria,0,11,0%,47.55
Egypt,0,10,0%,13.2
Taiwan,0,9,0%,9.67
Chile,0,9,0%,12.11
United Arab Emirates,0,8,0%,3
Bulgaria,0,8,0%,9.75
Serbia,0,7,0%,2.57
Syria,0,7,0%,5
Colombia,0,7,0%,12.86
South Africa,0,6,0%,5.67
Bolivia,0,5,0%,11.4
Iraq,0,5,0%,19.4
Peru,0,4,0%,18.5
Jordan,0,4,0%,40
Kenya,0,3,0%,4
Palestine,0,3,0%,4
Hong Kong,0,3,0%,5.67
Saudi Arabia,0,3,0%,6
Bosnia & Herzegovina,0,3,0%,6.33
Venezuela,0,3,0%,6.33
Costa Rica,0,3,0%,7.33
Albania,0,3,0%,31.67
Lebanon,0,2,0%,2.5
Jersey,0,2,0%,4
Croatia,0,2,0%,4.5
Tunisia,0,2,0%,5
Ecuador,0,2,0%,6
Cambodia,0,2,0%,6
Belarus,0,2,0%,6.5
Uzbekistan,0,2,0%,8
Moldova,0,2,0%,8.5
Guyana,0,2,0%,9.5
Myanmar (Burma),0,2,0%,10
Paraguay,0,2,0%,26.5
Dominican Republic,0,2,0%,34.5
Haiti,0,1,0%,2
Cyprus,0,1,0%,3
Ethiopia,0,1,0%,3
Georgia,0,1,0%,3
Tajikistan,0,1,0%,3
Belize,0,1,0%,4
Luxembourg,0,1,0%,5
Cuba,0,1,0%,6
Azerbaijan,0,1,0%,8
Malta,0,1,0%,9
Bahamas,0,1,0%,11
