Date,Affected pages
2026-06-29,12
2026-06-30,12
2026-07-01,12
2026-07-02,12
2026-07-03,12
2026-07-04,12
2026-07-05,12
2026-07-06,12
2026-07-07,12
2026-07-08,12
2026-07-09,12
2026-07-10,15
2026-07-11,15
2026-07-12,15
2026-07-13,15
2026-07-14,15
2026-07-15,15
2026-07-16,15
2026-07-17,15
2026-07-18,15
2026-07-19,15
2026-07-20,15
2026-07-21,15
2026-07-22,15
2026-07-23,15
2026-07-24,14
2026-07-25,14
2026-07-26,14
2026-07-27,14
2026-07-28,14
2026-07-29,14
2026-07-30,14
2026-07-31,14
2026-08-01,14
2026-08-02,14
2026-08-03,14
2026-08-04,14
2026-08-05,14
2026-08-06,14
2026-08-07,13
2026-08-08,13
2026-08-09,13
2026-08-10,12
2026-08-11,12
2026-08-12,12
2026-08-13,12
2026-08-14,13
2026-08-15,13
2026-08-16,13
2026-08-17,13
2026-08-18,13
2026-08-19,13
2026-08-20,13
2026-08-21,12
2026-08-22,12
2026-08-23,12
2026-08-24,12
2026-08-25,12
2026-08-26,12
2026-08-27,12
2026-08-28,13
2026-08-29,13
2026-08-30,13
2026-08-31,13
2026-09-01,13
2026-09-02,13
2026-09-03,13
