Top pages,Clicks,Impressions,CTR,Position
https://www.mosaic.photography/,1077,17174,6.27%,8.52
https://www.mosaic.photography/photographers/von-plueschow,23,303,7.59%,14.53
https://www.mosaic.photography/photographers/moulin,5,150,3.33%,9.75
https://www.mosaic.photography/faq,2,120,1.67%,7.39
https://www.mosaic.photography/profile/collections/2a533f34-b133-4ed6-aa87-01352dee5fd3,2,21,9.52%,34.71
https://www.mosaic.photography/profile/collections/c2998dc4-c5e7-4d78-ac72-df61ae4bc0e3,2,21,9.52%,35.52
https://www.mosaic.photography/photographers/brigman,1,61,1.64%,19.26
https://www.mosaic.photography/app,1,18,5.56%,3.39
https://www.mosaic.photography/about,1,14,7.14%,4.57
https://www.mosaic.photography/toolkit/amazon,1,11,9.09%,6.64
https://www.mosaic.photography/photographers/von-bucovich,1,11,9.09%,10.73
https://www.mosaic.photography/#community-section,0,205,0%,8.03
https://www.mosaic.photography/#gallery-section,0,205,0%,8.03
https://www.mosaic.photography/#our-photographers,0,205,0%,8.03
https://www.mosaic.photography/#toolkits,0,205,0%,8.03
https://www.mosaic.photography/photographers/stieglitz,0,25,0%,67.28
https://www.mosaic.photography/photographers/cameron,0,21,0%,37.38
https://www.mosaic.photography/photographers/holland-day,0,18,0%,60.22
https://www.mosaic.photography/toolkit/fine-art-america,0,12,0%,9.33
https://www.mosaic.photography/legal/terms-of-service,0,9,0%,4.11
https://www.mosaic.photography/toolkit/retouch4me,0,9,0%,7.44
http://www.mosaic.photography/,0,8,0%,1.25
https://www.mosaic.photography/photographers/brady,0,5,0%,5.4
https://www.mosaic.photography/photographers/de-la-vaudere,0,4,0%,7
https://www.mosaic.photography/legal/credits,0,4,0%,9.5
https://www.mosaic.photography/toolkit/white-wall-de,0,4,0%,32
https://www.mosaic.photography/legal/privacy-policy,0,3,0%,16
https://www.mosaic.photography/photographers/durieu,0,2,0%,13
